pk_species,euring,taxref,scientific_name,french_name,english_name,niveau_taxo,class_tax,order_tax,family_tax
PICPIC,15490,4474,Pica pica,Pie bavarde,Eurasian Magpie,espece,Oiseaux,Passériformes,Corvidés
NUCCAR,15570,4480,Nucifraga caryocatactes,Cassenoix moucheté,Spotted nutcracker,espece,Oiseaux,Passériformes,Corvidés
NUCCARCAR,15571,4482,Nucifraga caryocatactes caryocatactes,Cassenoix moucheté,Spotted nutcracker,sous-espece,Oiseaux,Passériformes,Corvidés
NUCCARMAC,15572,,Nucifraga caryocatactes macrorhynchos,Cassenoix moucheté sibérien,Slender-billed Spotted Nutcracker,sous-espece,Oiseaux,Passériformes,Corvidés
PYRGRA,15580,4485,Pyrrhocorax graculus,Chocard à bec jaune,Yellow-billed Chough,espece,Oiseaux,Passériformes,Corvidés
PYRRAX,15590,4488,Pyrrhocorax pyrrhocorax,Crave à bec rouge,Red-billed Chough,espece,Oiseaux,Passériformes,Corvidés
CORMON,15600,4494,Corvus monedula,Choucas des tours,Eurasian Jackdaw,espece,Oiseaux,Passériformes,Corvidés
CORMONMON,15601,4497,Corvus monedula monedula,Choucas des tours scandinave,Jackdaw,sous-espece,Oiseaux,Passériformes,Corvidés
CORDAU,15610,199412,Corvus dauuricus,Choucas de Daourie,Daurian Jackdaw,espece,Oiseaux,Passériformes,Corvidés
CORFRU,15630,4501,Corvus frugilegus,Corbeau freux,Rook,espece,Oiseaux,Passériformes,Corvidés
CORCOR,15670,4503,Corvus corone,Corneille noire,Carrion Crow,espece,Oiseaux,Passériformes,Corvidés
CORCORNIX,15673,4505,Corvus corone cornix,Corneille mantelée,Hooded crow,sous-espece,Oiseaux,Passériformes,Corvidés
CORCORSAR,,4509,Corvus corone sardonius,Corneille mantelée sarde,South European Hooded Crow,sous-espece,Oiseaux,Passériformes,Corvidés
CORRAX,15720,4510,Corvus corax,Grand Corbeau,Common Raven,espece,Oiseaux,Passériformes,Corvidés
STUVUL,15820,4516,Sturnus vulgaris,Étourneau sansonnet,European Starling,espece,Oiseaux,Passériformes,Sturnidés
STUUNI,15830,4518,Sturnus unicolor,Étourneau unicolore,Spotless Starling,espece,Oiseaux,Passériformes,Sturnidés
STUROS,15840,4520,Sturnus roseus,Étourneau roselin,Rosy Starling,espece,Oiseaux,Passériformes,Sturnidés
PASDOM,15910,4525,Passer domesticus,Moineau domestique,House Sparrow,espece,Oiseaux,Passériformes,Passéridés
PASITA,15912,199494,Passer italiae,Moineau cisalpin,Italian Sparrow,espece,Oiseaux,Passériformes,Passéridés
PASHIS,15920,4530,Passer hispaniolensis,Moineau espagnol,Spanish Sparrow,espece,Oiseaux,Passériformes,Passéridés
PASMON,15980,4532,Passer montanus,Moineau friquet,Eurasian Tree Sparrow,espece,Oiseaux,Passériformes,Passéridés
PETPET,16040,4540,Petronia petronia,Moineau soulcie,Rock Petronia,espece,Oiseaux,Passériformes,Passéridés
MONNIV,16110,4537,Montifringilla nivalis,Niverolle alpine,White-winged Snowfinch,espece,Oiseaux,Passériformes,Passéridés
EUOMAL,16180,534746,Euodice malabarica,Capucin bec-de-plomb,Indian Siverbill,espece,Oiseaux,Passériformes,Estérildidés
VIROLI,16330,4560,Vireo olivaceus,Viréo à oeil rouge,Red-eyed Vireo,espece,Oiseaux,Passériformes,Viréonidés
PINSON,,,,Pinson sp,,generique,Oiseaux,Passériformes,Fringillidés
FRICOE,16360,4564,Fringilla coelebs,Pinson des arbres,Common Chaffinch,espece,Oiseaux,Passériformes,Fringillidés
FRIMON,16380,4568,Fringilla montifringilla,Pinson du Nord,Brambling,espece,Oiseaux,Passériformes,Fringillidés
SERSER,16400,4571,Serinus serinus,Serin cini,European Serin,espece,Oiseaux,Passériformes,Fringillidés
SERCIT,16440,4574,Serinus citrinella,Venturon montagnard,Citril Finch,espece,Oiseaux,Passériformes,Fringillidés
SERCOR,16442,534755,Serinus corsicanus,Venturon corse,Corsican Finch,espece,Oiseaux,Passériformes,Fringillidés
CARCHL,16490,4580,Carduelis chloris,Verdier d'Europe,European Greenfinch,espece,Oiseaux,Passériformes,Fringillidés
CARCAR,16530,4583,Carduelis carduelis,Chardonneret élégant,European Goldfinch,espece,Oiseaux,Passériformes,Fringillidés
CARSPI,16540,4586,Carduelis spinus,Tarin des aulnes,Eurasian Siskin,espece,Oiseaux,Passériformes,Fringillidés
CARCAN,16600,4588,Carduelis cannabina,Linotte mélodieuse,Eurasian Linnet,espece,Oiseaux,Passériformes,Fringillidés
CARRIS,16620,4590,Carduelis flavirostris,Linotte à bec jaune,Twite,espece,Oiseaux,Passériformes,Fringillidés
CARFLA,16630,4595,Carduelis flammea,Sizerin flammé,Common Redpoll,espece,Oiseaux,Passériformes,Fringillidés
CARFLAFLA,16631,4600,Carduelis flammea flammea,Sizerin boréal,Common Redpoll,sous-espece,Oiseaux,Passériformes,Fringillidés
CARFLAROS,16632,,Carduelis flammea rostrata,Sizerin flammé groenlandais,Common Redpoll (rostrata),sous-espece,Oiseaux,Passériformes,Fringillidés
CARFLACAB,16634,4598,Carduelis flammea cabaret,Sizerin cabaret, Lesser Redpoll,sous-espece,Oiseaux,Passériformes,Fringillidés
CARHOR,16640,199503,Carduelis hornemanni,Sizerin blanchâtre,Hoary Redpoll,espece,Oiseaux,Passériformes,Fringillidés
CARHORHOR,16641,,Carduelis hornemanni hornemanni,Sizerin blanchâtre hornemanni,Hoary Redpoll (hornemanni),sous-espece,Oiseaux,Passériformes,Fringillidés
CARHOREXI,16642,,Carduelis hornemanni exilipes,Sizerin blanchâtre exilipes,Hoary Redpoll (exilipes),sous-espece,Oiseaux,Passériformes,Fringillidés
LOXLEU,16650,4609,Loxia leucoptera,Bec-croisé bifascié,White-winged Crossbill,espece,Oiseaux,Passériformes,Fringillidés
LOXCUR,16660,4603,Loxia curvirostra,Bec-croisé des sapins,Red Crossbill,espece,Oiseaux,Passériformes,Fringillidés
LOXSCO,16670,,Loxia scotica,Bec-croisé d'Ecosse,Scottish Crossbill,espece,Oiseaux,Passériformes,Fringillidés
LOXPYT,16680,4607,Loxia pytyopsittacus,Bec-croisé perroquet,Parrot Crossbill,espece,Oiseaux,Passériformes,Fringillidés
CARERY,16790,4616,Carpodacus erythrinus,Roselin cramoisi,Common Rosefinch,espece,Oiseaux,Passériformes,Fringillidés
PINENU,16990,4613,Pinicola enucleator,Durbec des sapins,Pine Grosbeak,espece,Oiseaux,Passériformes,Fringillidés
PYRPYR,17100,4619,Pyrrhula pyrrhula,Bouvreuil pivoine,Eurasian Bullfinch,espece,Oiseaux,Passériformes,Fringillidés
PYRPYRPYR,17101,4621,Pyrrhula pyrrhula pyrrhula,Bouvreuil pivoine nordique,Eurasian Bullfinch,sous-espece,Oiseaux,Passériformes,Corvidés
PYRPYREUR,17102,4623,Pyrrhula pyrrhula europaea,Bouvreuil pivoine d'Europe de l'Ouest,West European Eurasian Bullfinch,sous-espece,Oiseaux,Passériformes,Corvidés
COCCOC,17170,4625,Coccothraustes coccothraustes,Grosbec casse-noyaux,Hawfinch,espece,Oiseaux,Passériformes,Fringillidés
PARAME,17320,627455,Setophaga americana,Paruline à collier,Northern Parula,espece,Oiseaux,Passériformes,Parulidés
DENSTR,17530,627671,Setophaga striata,Paruline rayée,Blackpoll Warbler,espece,Oiseaux,Passériformes,Parulidés
SETRUT,17550,4636,Setophaga ruticilla,Paruline flamboyante,American Redstart,espece,Oiseaux,Passériformes,Parulidés
SEINOV,17570,626165,Parkesia noveboracensis,Paruline des ruisseaux,Northern Waterthrush,espece,Oiseaux,Passériformes,Parulidés
CALLAP,18470,4644,Calcarius lapponicus,Bruant lapon,Lapland Longspur,espece,Oiseaux,Passériformes,Embérizidés
PLENIV,18500,4649,Plectrophenax nivalis,Bruant des neiges,Snow Bunting,espece,Oiseaux,Passériformes,Embérizidés
EMBLEU,18560,199522,Emberiza leucocephalos,Bruant à calotte blanche,Pine Bunting,espece,Oiseaux,Passériformes,Embérizidés
EMBCIT,18570,4657,Emberiza citrinella,Bruant jaune,Yellowhammer,espece,Oiseaux,Passériformes,Embérizidés
EMBCIR,18580,4659,Emberiza cirlus,Bruant zizi,Cirl Bunting,espece,Oiseaux,Passériformes,Embérizidés
EMBCIA,18600,4663,Emberiza cia,Bruant fou,Rock Bunting,espece,Oiseaux,Passériformes,Embérizidés
EMBHOR,18660,4665,Emberiza hortulana,Bruant ortolan,Ortolan Bunting,espece,Oiseaux,Passériformes,Embérizidés
EMBCAE,18680,4674,Emberiza caesia,Bruant cendrillard,Cretzschmar's Bunting,espece,Oiseaux,Passériformes,Embérizidés
EMBPUS,18740,4667,Emberiza pusilla,Bruant nain,Little Bunting,espece,Oiseaux,Passériformes,Embérizidés
EMBAUR,18760,4678,Emberiza aureola,Bruant auréole,Yellow-breasted Bunting,espece,Oiseaux,Passériformes,Embérizidés
EMBSCH,18770,4669,Emberiza schoeniclus,Bruant des roseaux,Reed Bunting,espece,Oiseaux,Passériformes,Embérizidés
EMBMEL,18810,4680,Emberiza melanocephala,Bruant mélanocéphale,Black-headed Bunting,espece,Oiseaux,Passériformes,Embérizidés
MILCAL,18820,4686,Emberiza calandra,Bruant proyer,Corn Bunting,espece,Oiseaux,Passériformes,Embérizidés
PHOCHI,20230,2692,Phoenicopterus chilensis,Flamant du Chili,Chilean Flamingo,espece,Oiseaux,Phoenicoptériformes,Phoenicoptéridés
RHOGIT,20280,2405,Bucanetes githagineus,Roselin githagine,Trumpeter Finch,espece,Oiseaux,Passériformes,Fringillidés
ARDMEL,20310,2510,Ardea melanocephala,Héron mélanocéphale,Black-headed Heron,espece,Oiseaux,Ciconiiformes,Ardéidés
CYGATR,20800,2702,Cygnus atratus,Cygne noir,Black Swan,espece,Oiseaux,Ansériformes,Anatidae
AQUNIP,30530,2648,Aquila nipalensis,Aigle des steppes,Steppe Eagle,espece,Oiseaux,Accipitriformes,Accipitridés
LANMER,32910,199409,Lanius meridionalis,Pie-grièche méridionale,Southern Gray Shrike,espece,Oiseaux,Passériformes,Laniidés
AGAROS,,,Agapornis roseicollis,Inséparable rosegorge,Rosy-faced Lovebird,espece,Oiseaux,Psittaciformes,Psittacidés
